season,team_name,w,d,l,gf,ga,gd,pts
2024,Toronto FC,4,1,1,5,2,3,13
2023,Toronto FC,1,4,1,8,6,2,7
2022,Toronto FC,2,2,2,9,11,-2,8
2021,Toronto FC,1,2,3,5,10,5,5
2020,Toronto FC,3,3,0,12,7,6,12
2019,Toronto FC,4,1,1,18,11,7,13
2018,Toronto FC,1,1,4,6,11,-5,4
2017,Toronto FC,1,4,1,7,6,1,7
2016,Toronto FC,2,2,2,6,5,1,8
2015,Toronto FC,2,0,4,10,11,-1,6
2014,Toronto FC,3,0,3,6,7,-1,9
2013,Toronto FC,1,3,2,8,10,-2,6
2012,Toronto FC,0,0,6,4,13,-9,0
2011,Toronto FC,1,3,2,6,9,-3,6
2010,Toronto FC,2,0,4,6,12,-6,6
2009,Toronto FC,2,2,2,8,7,1,8
2008,Toronto FC,3,1,2,8,9,-1,10
2007,Toronto FC,2,0,4,5,10,-5,6