team,transfer_fees
Manchester City F.C.,"£151,100,000.00"
Manchester United F.C.,"£121,700,000.00"
Arsenal F.C.,"£226,600,000.00"
Chelsea F.C.,"£449,100,000.00"
Liverpool F.C.,"£172,000,000.00"
Aston Villa F.C.,"£97,400,000.00"
Tottenham Hotspur F.C.,"£231,300,000.00"
West Ham United F.C.,"£135,800,000.00"
Newcastle United F.C.,"£145,200,000.00"
Everton F.C.,"£37,500,000.00"
Crystal Palace,"£67,800,000.00"
Nottingham Forest F.C.,"£93,870,000.00"
Fulham F.C.,"£298,900,000.00"
Brighton & Hove Albion,"£107,350,000.00"
AFC Bournemouth,"£87,070,000.00"
Brentford F.C.,"£67,850,000.00"
Burnley F.C.,"£107,050,000.00"
Wolverhampton Wanderers F.C.,"£44,000,000.00"
Sheffield United F.C.,"£41,850,000.00"
Luton Town F.C.,"£7,600,000.00"